date,Unnamed: 0,index,Date_reported,Country,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,Case_pct_change,Mortality_rate
2020-02-01,117767,117767,2020-02-01,United Kingdom,2,2,0,0,inf,0.0
2020-02-07,117773,117773,2020-02-07,United Kingdom,1,3,0,0,inf,0.0
2020-02-10,117776,117776,2020-02-10,United Kingdom,4,7,0,0,inf,0.0
2020-02-11,117777,117777,2020-02-11,United Kingdom,1,8,0,0,-0.75,0.0
2020-02-13,117779,117779,2020-02-13,United Kingdom,1,9,0,0,inf,0.0
2020-02-23,117789,117789,2020-02-23,United Kingdom,1,10,0,0,inf,0.0
2020-02-25,117791,117791,2020-02-25,United Kingdom,1,11,0,0,inf,0.0
2020-02-26,117792,117792,2020-02-26,United Kingdom,2,13,0,0,1.0,0.0
2020-02-27,117793,117793,2020-02-27,United Kingdom,5,18,0,0,1.5,0.0
2020-02-28,117794,117794,2020-02-28,United Kingdom,4,22,0,0,-0.19999999999999996,0.0
2020-02-29,117795,117795,2020-02-29,United Kingdom,8,30,0,0,1.0,0.0
2020-03-01,117796,117796,2020-03-01,United Kingdom,12,42,0,0,0.5,0.0
2020-03-02,117797,117797,2020-03-02,United Kingdom,5,47,0,0,-0.5833333333333333,0.0
2020-03-03,117798,117798,2020-03-03,United Kingdom,22,69,0,0,3.4000000000000004,0.0
2020-03-04,117799,117799,2020-03-04,United Kingdom,39,108,0,0,0.7727272727272727,0.0
2020-03-05,117800,117800,2020-03-05,United Kingdom,56,164,0,0,0.4358974358974359,0.0
2020-03-06,117801,117801,2020-03-06,United Kingdom,56,220,0,0,0.0,0.0
2020-03-07,117802,117802,2020-03-07,United Kingdom,50,270,1,1,-0.1071428571428571,0.3703703703703704
2020-03-08,117803,117803,2020-03-08,United Kingdom,81,351,1,2,0.6200000000000001,0.5698005698005698
2020-03-09,117804,117804,2020-03-09,United Kingdom,68,419,0,2,-0.16049382716049387,0.47732696897374705
2020-03-10,117805,117805,2020-03-10,United Kingdom,57,476,1,3,-0.16176470588235292,0.6302521008403361
2020-03-11,117806,117806,2020-03-11,United Kingdom,147,623,4,7,1.5789473684210527,1.1235955056179776
2020-03-12,117807,117807,2020-03-12,United Kingdom,265,888,0,7,0.8027210884353742,0.7882882882882882
2020-03-13,117808,117808,2020-03-13,United Kingdom,405,1293,2,9,0.5283018867924529,0.6960556844547563
